lxde,000-lxmenu-data.sh,lxmenu-data-0.1.5.tar.xz
lxde,001-libfm-extra.sh,libfm-1.3.1.tar.xz
lxde,002-menu-cache.sh,menu-cache-1.1.0.tar.xz
lxde,003-libfm.sh,libfm-1.3.1.tar.xz
lxde,004-PCManFM.sh,pcmanfm-1.3.1.tar.xz
gnome,9.340-pyCairo.sh,pycairo-1.18.1.tar.gz
lxde,004-pygobject.sh,pygobject-2.28.7.tar.xz
lxde,004-pygtk.sh,pygtk-2.24.0.tar.bz2
lxde,005-libwnck.sh,libwnck-2.30.7.tar.xz
lxde,005-keybinder.sh,keybinder-0.3.1.tar.gz
lxde,006-wireless-tools.sh,wireless_tools.29.tar.gz
lxde,006-LXPanel.sh,lxpanel-0.10.0.tar.xz
gnome,9.335-dbus-glib.sh,dbus-glib-0.110.tar.gz
lxde,007-lxappearance.sh,lxappearance-0.6.3.tar.xz
lxde,006-libunique.sh,libunique-1.1.6.tar.bz2
lxde,008-lxsession.sh,lxsession-0.5.4.tar.xz
lxde,009-lxde-common.sh,lxde-common-0.99.2.tar.xz
lxde,010-GPicView.sh,gpicview-0.2.5.tar.xz
lxde,011-openbox.sh,openbox-3.6.1.tar.gz
lxde,020-lxappearance-obconf.sh,lxappearance-obconf-0.2.3.tar.xz
lxde,030-LXInput.sh,lxinput-0.3.5.tar.xz
lxde,040-LXRandR.sh,lxrandr-0.3.2.tar.xz
lxde,050-LXTask.sh,lxtask-0.1.9.tar.xz
lxde,050-Vte.sh,vte-0.28.2.tar.xz
lxde,060-LXTerminal.sh,lxterminal-0.3.2.tar.xz
